Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
WVVI,"Willamette Valley Vineyards, Inc.",5.9,$29.29M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/wvvi
WVVIP,"Willamette Valley Vineyards, Inc.",4.9,$22.85M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/wvvip
WLDN,"Willdan Group, Inc.",22.88,$266.55M,2006,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/wldn
WLFC,Willis Lease Finance Corporation,18.18,$109.5M,1996,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/wlfc
WLTW,Willis Towers Watson Public Limited Company,204.74,$26.36B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/wltw
WSC,WillScot Corporation,12.54,$1.49B,2015,n/a,n/a,https://old.nasdaq.com/symbol/wsc
WIMI,WiMi Hologram Cloud Inc.,4.51,$266.34M,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/wimi
WINT,"Windtree Therapeutics, Inc.",3.3,$31.15M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/wint
WING,Wingstop Inc.,121.52,$3.59B,2015,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/wing
WINA,Winmark Corporation,135.04,$493.57M,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/wina
WINS,Wins Finance Holdings Inc.,9.95,$197.38M,2014,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/wins
WTFC,Wintrust Financial Corporation,37.23,$2.14B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wtfc
WTFCM,Wintrust Financial Corporation,24.4,$122M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wtfcm
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,38.0596,$15.22M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agnd
