Symbol,Name
578.SI,Ks Energy Limited
579.SI,Oceanus Group Limited
580.SI,Santak Holdings Limited
581.SI,Ite Electric Co Ltd
583.SI,Progen Holdings Ltd
584.SI,Oakwell Engineering Limited
585.SI,Asian Micro Holdings Ltd
586.SI,Tmc Education Corporation Ltd
594.SI,Loyz Energy Limited
595.SI,Van Der Horst Energy Limited
596.SI,Thai Village Holdings Ltd
5A1B.SI,Astrea V3.85%b290620#
5AB.SI,Trek 2000 Int'l Ltd
5AE.SI,Pollux Properties Ltd.
5AI.SI,Sunlight Group Hldg Ltd
5AL.SI,Annica Holdings Limited
5AM.SI,Asiatravel.com Holdings Ltd
5AU.SI,Ap Oil International Limited
5BI.SI,Carriernet Global Ltd
5BS.SI,Pne Micron Holdings Ltd
5CF.SI,Okp Holdings Limited
5CN.SI,Sinwa Limited
5CP.SI,Silverlake Axis Ltd
5CQ.SI,Technics Oil & Gas Limited
5CR.SI,Asiatic Group (holdings) Ltd
5CT.SI,Ecowise Holdings Limited
5DD.SI,Micro-mechanics (holdings) Ltd
5DL.SI,Koon Holdings Limited
5DM.SI,Ying Li Intl Real Estate Ltd
5DN.SI,Ezra Holdings Limited
5DO.SI,Sakae Holdings Ltd.
5DP.SI,Heeton Holdings Limited
5DS.SI,Megachem Limited
5DX.SI,Metal Component Engg Ltd
5EB.SI,Cfm Holdings Limited
5EC.SI,ISR Capital
5EF.SI,Adventus Holdings Limited
5EG.SI,New Lakeside Holdings Limited
5EK.SI,Armarda Group Limited
5EL.SI,Lasseters Intl Holdings Ltd
5EN.SI,Midas Hldgs Limited
5EV.SI,Hosen Group Ltd
5EW.SI,Pan Asian Holdings Limited
5F4.SI,Figtree Holdings Limited
5F7.SI,Hartawan Hldgs Ltd
5FH.SI,Advance Sct Limited
5FL.SI,Falcon Energy Group Limited
5FW.SI,Linair Technologies Limited
5FX.SI,New Wave Holdings Ltd.
5G1.SI,Eurosports Global Limited
5G2.SI,Kimheng Offshore&marine Hldltd
5G3.SI,Talkmed Group Limited
5G4.SI,Infinio Group Limited
5G9.SI,Tritech Group Limited
5GD.SI,Sunpower Group Ltd.
5GF.SI,Nico Steel Holdings Limited
5GI.SI,Interra Resources Limited
5GJ.SI,Ausgroup Limited
5GZ.SI,Aa Group Holdings Ltd.
5H0.SI,Singhaiyi Group Ltd.
5HC.SI,Ntegrator International Ltd
5HG.SI,Oniontech Limited
5HH.SI,Hln Technologies Limited
5HT.SI,Communication Design Intl Ltd
5HV.SI,Metax Engineering Corp Limited
5I0.SI,Qt Vascular Ltd.
5I1.SI,Kop Limited
5I4.SI,Icp Ltd
5IC.SI,Sing Holdings Limited
5IE.SI,Lorenzo International Limited
5IF.SI,Natural Cool Holdings Limited
5IG.SI,Gallant Venture Ltd.
5JK.SI,Hiap Hoe Limited
5JS.SI,Indofood Agri Resources Ltd.
5K5W.SI,Hsi24200mbecw200730
5KI.SI,Soup Restaurant Group Limited
5LE.SI,Sitra Holdings (intl) Limited
5LY.SI,Marco Polo Marine Ltd.
5MD.SI,Soon Lian Holdings Limited
5ME.SI,Ezion Holdings Limited
5ML.SI,Old Chang Kee Ltd.
5MM.SI,Sky One Holdings Limited
5MQ.SI,Epicentre Holdings Limited
5MS.SI,Memstar Technology Ltd.
5MZ.SI,Kingsmen Creatives Ltd
5NF.SI,Mencast Holdings Ltd.
5NG.SI,Healthway Medical Corp Ltd
5NK.SI,Artivision Technologies Ltd.
5NV.SI,Chasen Holdings Limited
5OC.SI,Koyo International Limited
5OI.SI,Japan Foods Holding Ltd.
5OQ.SI,Teho International Inc Ltd.
5OR.SI,Heatec Jietong Holdings Ltd.
5OT.SI,Singapore Medical Group Ltd
5OU.SI,China Environment Ltd.
5OX.SI,Mary Chia Holdings Limited
5PC.SI,Goodland Group Limited
5PD.SI,Hengyang Petrochem Log Limited
5PF.SI,Jason Marine Group Limited
5PI.SI,Plato Capital Limited
5PL.SI,Sbi Offshore Limited
5PO.SI,Hiap Tong Corporation Ltd.
5QR.SI,Mann Seng Metal Intl Limited
5QT.SI,Charisma Energy
5QY.SI,Net Pacific Fin Hldgs Ltd
5RA.SI,Asia-pacific Strategic Inv Ltd
5RC.SI,Es Group (holdings) Limited
5RE.SI,Smartflex Holdings Ltd
5RF.SI,Friven & Co. Ltd.
5SO.SI,Duty Free Internationallimited
5SR.SI,Zhongmin Baihui Retail Grp Ltd
5SY.SI,Chew's Group Limited
5TI.SI,Kitchen Culture Holdings Ltd.
5TJ.SI,Far East Group Limited
5TN.SI,Iev Holdings Limited
5TP.SI,Cnmc Goldmine Holdings Limited
5TR.SI,Libra Group Limited
5TS.SI,Jk Tech Holdings Limited
5TT.SI,Keong Hong Holdings Limited
5TW.SI,Chaswood Resources Hldgs Ltd.
5TY.SI,Advanced Systems Automation
5UA.SI,Starland Holdings Limited
5UF.SI,Maxi-cash Fin Svcs Corp Ltd
5UJ.SI,Neo Group Limited
5UL.SI,Atlantic Navigation Hldg(s)ltd
5UN.SI,Sincap Group Limited
5UO.SI,Sysma Holdings Limited
5UX.SI,Oxley Holdings Limited
5VC.SI,Kori Holdings Limited
5VI.SI,Logistics Holdings Limited
5VJ.SI,Halcyon Agri Corporation Ltd
5VP.SI,Gds Global Limited
5VS.SI,Hafary Holdings Limited
5WA.SI,Intl Healthway Corp Limited
5WE.SI,Moya Holdings Asia Limited
5WF.SI,Isoteam Ltd.
5WG.SI,Singapore Kitchen Equipmentltd
5WH.SI,Rex International Holding Ltd
5WJ.SI,Moneymax Financial Servicesltd
5WV.SI,Asiaphos Limited
5Y1W.SI,Tencentmbecw200703
5YOW.SI,Hsi26600mbecw200528
5YTW.SI,Uob Mb Epw201230
600.SI,Hyflux Ltd
6SUS.SI,Ny05100n 200901
7PMS.SI,Ny07100x 220901
7QQS.SI,Nz07100s 270301
8YJR.SI,Sia Mcb R1
8YLS.SI,Nz19100s 390701
8YY.SI,Biolidics Limited
946W.SI,Hsi21800mbepw200629
94IW.SI,Sti 3100mbepw200831
963W.SI,S&p 2850mbecw200918
96JW.SI,Hsi21400mbepw200730
9EFW.SI,Maplecomtr Mb Ecw210302
9FDW.SI,Sti 2800mbepw201030
9HSW.SI,Dlc Socgen7xlonghsc 210723
9KVW.SI,Uob Mb Epw210217
9MDW.SI,Uob Mb Epw201231
9U3W.SI,Hsi22200mbepw200528
9Y4W.SI,Dbs Mb Ecw200601
A04.SI,Asl Marine Holdings Ltd
A05.SI,Avjennings Limited
A13.SI,Allied Technologies Limited
A17U.SI,Ascendas Real Estate Inv Trust
A26.SI,Sinarmas Land Limited
A27.SI,Mdr Limited
A30.SI,Aspial Corporation Limited
A31.SI,Addvalue Technologies Ltd
A33.SI,Blumont Group Ltd.
A34.SI,Amara Holdings Ltd
A35.SI,Abf Spore Bond Index Fund Etf
A50.SI,Rowsley Ltd.
A52.SI,Annaik Limited
A55.SI,Asia Enterprises Holding Ltd
A75.SI,Ace Achieve Infocom Limited
A78.SI,Liongold Corp Ltd
A7RU.SI,Cityspring Infrastruct Trust
A7S.SI,Sunvic Chemical Holdings Ltd
A91W.SI,Sti 3250mbepw200630
AAJ.SI,Sunmoon Food Company Limited
ACV.SI,Frasers Hospitality Trust
ADJ.SI,Ols Enterprise Ltd.
ADN.SI,First Sponsor Group Limited
ADP.SI,Swissco Holdings Limited
ADQU.SI,Accordia Golf Trust
AFC.SI,Yuuzoo Corporation
AFUS.SI,Nx15100z 250601
AFVS.SI,N515100s 200701
AGS.SI,The Hour Glass Limited
AIY.SI,Ifast Corporation Ltd.
AJ2.SI,Ouhua Energy Holdings Limited
AJBU.SI,Keppel Dc Reit
AOF.SI,Amplefield Limited
AP4.SI,Riverstone Holdings Limited
AU8U.SI,Capitaretail China Trust
AUE.SI,United Fiber System Limited
AVM.SI,Boustead Projects Limited
AVV.SI,Cei Contract Manufacturing Ltd
AVX.SI,Hl Global Enterprises Limited
AW9U.SI,First Real Estate Inv Trust
AWC.SI,Lindeteves-jacoberg Ltd
AWE.SI,Sp Corporation Limited
AWG.SI,Aei Corporation Ltd
AWI.SI,Thakral Corporation Ltd
AWK.SI,Fuxing China Group Limited
AWM.SI,Shanghai Turbo Enterprises Ltd
AWO.SI,Mirach Energy Limited
AWS.SI,Global Yellow Pages Limited
AWV.SI,Captii Limited
AWX.SI,Aem Holdings Ltd
AWZ.SI,Multi-chem Limited
AXB.SI,Yongnam Holdings Limited
AXXZ.SI,Fcl Trea S$500m3.65%b220522
AYB.SI,Lafe Corporation Limited
AYD.SI,Plastoform Holdings Limited
AYN.SI,Global Testing Corporation Ltd
AYV.SI,Acma Ltd.
AZA.SI,Ipc Corporation Limited
AZG.SI,8telecom Intl Holdings Co Ltd
AZR.SI,United Food Holdings Limited
AZT.SI,Lottvision Limited
AZW.SI,China Taisan Tech Grp Hldgsltd
AZY.SI,"Pan Ocean Co., Ltd."
B07.SI,Next-gen Satellite Comm Ltd
B0Z.SI,China Fishery Group Limited
B16.SI,Guocoleisure Limited
B26.SI,Ban Leong Technologies Limited
B28.SI,Bonvests Holdings Ltd
B49.SI,World Precision Machinery Ltd
B58.SI,Banyan Tree Holdings Limited
B61.SI,Bukit Sembawang Estates Ltd
B66.SI,Pt Berlian Laju Tanker Tbk
B69.SI,Broadway Industrial Group Ltd
B73.SI,Global Investments Limited
B7K.SI,Sin Ghee Huat Corporation Ltd.
B83W.SI,Dbs Mb Epw201229
B9S.SI,Cosmosteel Holdings Limited
BAC.SI,Jacks International Limited
BAI.SI,S I2i Limited
BAZ.SI,Lion Asiapac Ltd
BBP.SI,Hor Kew Corporation Limited
BBW.SI,Azeus Systems Holdings Ltd.
BCD.SI,China Yuanbang Prop Hldgs Ltd
BCV.SI,Qian Hu Corporation Limited
BCY.SI,Powermatic Data Systems Ltd
BCZ.SI,Travelite Holdings Ltd.
BDA.SI,Pne Industries Ltd
BDF.SI,Excelpoint Technology Ltd
BDN.SI,Ryobi Kiso Holdings Ltd.
BDR.SI,Willas-array Elec (hldgs) Ltd
BDU.SI,Federal Int(2000) Ltd
BDX.SI,Gsh Corporation Limited
BEC.SI,Brc Asia Limited
BEH.SI,China International Hldgs Ltd
BEI.SI,Lht Holdings Limited
BEV.SI,Swing Media Technology Grp Ltd
BEW.SI,Jb Foods Limited
BEYZ.SI,Aspial Trea S$150m5.25%b200828
BEZ.SI,Beng Kuang Marine Limited
BFI.SI,Tiong Seng Holdings Limited
BFK.SI,Pharmesis International Ltd.
BFT.SI,Fabchem China Limited
BFU.SI,Tye Soon Ltd
BGK.SI,Swiber Holdings Limited
BGO.SI,Universal Resource & Svcs Ltd
BHD.SI,China Mining International Ltd
BHK.SI,Siic Environment Holdings Ltd.
BHO.SI,Top Global Limited
BHQ.SI,Sunningdale Tech Ltd
BHU.SI,Sutl Enterprise Limited
BIP.SI,Vibrant Group Limited
BIX.SI,Ellipsiz Ltd
BJD.SI,Vibropower Corporation Limited
BJGS.SI,Na16100h 460301
BJHS.SI,Nx16100f 260601
BJIS.SI,Nz16100x 360801
BJJS.SI,N516100z 211001
BJL.SI,Longcheer Holdings Limited
BJV.SI,Yamada Green Resources Limited
BJW.SI,Shinvest Holding Ltd.
BJZ.SI,Koda Ltd
BKA.SI,Sin Heng Heavy Machinery Ltd
BKK.SI,Luxking Group Holdings Limited
BKV.SI,Dukang Distillers Hldgs Ltd
BKW.SI,Datapulse Technology Limited
BKX.SI,Yongmao Holdings Limited
BKY.SI,Avi-tech Electronics Limited
BKZ.SI,Suntar Eco-city Limited
BLA.SI,Union Steel Holdings Limited
BLH.SI,Hai Leck Holdings Limited
BLL.SI,Psl Holdings Ltd
BLR.SI,Darco Water Technologies Ltd
BLS.SI,Hotung Investment Hldgs Ltd
BLU.SI,Grp Ltd
BLW.SI,Global Palm Resources Hlgs Ltd
BLZ.SI,Advanced Holdings Ltd.
BMGU.SI,Bhg Retail Reit
BMNW.SI,Csc Holdings W201229
BMT.SI,New Silkroutes Group Limited
BN2.SI,Valuetronics Holdings Limited
BN4.SI,Keppel Corporation Limited
BNE.SI,Kencana Agri Limited
BOU.SI,Informatics Education Ltd.
BPF.SI,Yhi International Limited
BQC.SI,Xpress Holdings Ltd
BQD.SI,Envictus International Hldgltd
BQF.SI,Xmh Holdings Ltd.
BQI.SI,Asia Fashion Holdings Limited
BQM.SI,Tiong Woon Corp Holding Ltd
BQN.SI,Bh Global Corporation Limited
BQP.SI,Southern Packaging Group Ltd
BR9.SI,China Hongxing Sports Limited
BRD.SI,Sapphire Corporation Limited
BRE.SI,Linc Energy Ltd
BRR.SI,The Stratech Group Limited
BRS.SI,Usp Group Limited
BS6.SI,Yangzijiang Shipbldg Hldgs Ltd
BSL.SI,Raffles Medical Group Ltd
BTE.SI,Bund Center Investment Ltd
BTF.SI,Debao Property Development Ltd
BTG.SI,Hg Metal Manufacturing Ltd
BTJ.SI,A-sonic Aerospace Limited
BTM.SI,Penguin International Limited
BTNZ.SI,Oxley Mtn S$150m 5.15%b200518
BTOU.SI,Manulife Us Reit
BTP.SI,Baker Technology Limited
BTWZ.SI,Hyflux S$500m6%perpcapsec
BTX.SI,Anchun International Hldgs Ltd
BTY.SI,Full Apex (holdings) Limited
BUOU.SI,Frasers Logistics & Ind Trust
BUPW.SI,Soilbuild Construction W210715
BVA.SI,Top Glove Corporation Bhd
BVP.SI,Aims Property Securities Fund
BVQ.SI,Procurri Corporation Limited
BWCU.SI,Ec World Reit
BWM.SI,China Jinjiang Env Hldg Co Ltd
BXE.SI,Cdw Holding Limited
BYI.SI,Phillip Sgx Apac Div Reit Etf
BYJ.SI,Phillip Sgx Apacdiv Reit Etfs$
BZKS.SI,N517100f 220401
C04.SI,Casa Holdings Limited
C05.SI,Chemical Industries (f.e.) Ltd
C06.SI,Csc Holdings Ltd
C07.SI,Jardine Cycle & Carriage Ltd
C09.SI,City Developments Limited
C13.SI,Ch Offshore Ltd
C29.SI,Chip Eng Seng Corporation Ltd
C2PU.SI,Parkwaylife Reit
C31.SI,Capitaland Limited
C33.SI,Chuan Hup Holdings Limited
C38U.SI,Capitamall Trust
C41.SI,Cortina Holdings Limited
C50.SI,Cheung Woh Technologies Ltd
C52.SI,Comfortdelgro Corporation Ltd
C61U.SI,Capitacommercial Trust
C6L.SI,Singapore Airlines Ltd
C70.SI,City Developments Ltd Nccps
C71.SI,China Paper Holdings Limited
C76.SI,Creative Technology Ltd
C8R.SI,Jiutian Chemical Group Limited
C92.SI,China Haida Ltd.
C9Q.SI,Sinostar Pec Holdings Limited
CC3.SI,Starhub Ltd
CDVZ.SI,Krisenergy S$139.464mz240131
CDXW.SI,Krisenergy Ltd. W240131
CEDU.SI,Dasin Retail Trust
CFA.SI,Nikkoam-stc Asia_xj Reit Etf
CFN.SI,Onestoxxasean Fund
CGN.SI,Best World International Ltd
CGOW.SI,Ta Corporation Ltd W220520
CGP.SI,Noble Group Limited
CHBW.SI,Duty Free Internationalw220513
CHJ.SI,Uni-asia Group Limited
CHZ.SI,Hrnetgroup Limited
CIN.SI,Courage Marine Group Limited
CIOW.SI,Dlc Socgen5xlongmsg 200714
CIPW.SI,Dlc Socgen5xshorthsc 200714
CIQW.SI,Dlc Socgen5xlonghsc 200714
CIRW.SI,Dlc Socgen3xshorthsc 200714
CISW.SI,Dlc Socgen3xlonghsc 200714
CITW.SI,Dlc Socgen5xshorthsi 200714
CIUW.SI,Dlc Socgen5xlonghsi 200714
CIVW.SI,Dlc Socgen3xshorthsi 200714
CIWW.SI,Dlc Socgen3xlonghsi 200714
CIXW.SI,Dlc Socgen5xshortmsg 200714
CJLU.SI,Netlink Nbn Trust
CJN.SI,British & Malayan Hldg Limited
CLN.SI,Apac Realty Limited
CLR.SI,Lion-phillip S-reit Etf
CMGS.SI,Nx18100a 280501
CMHS.SI,N518100e 230201
CMOU.SI,Keppel-kbs Us Reit
CNE.SI,Mindchamps Preschool Limited
CNNU.SI,Cromwell European Reit
COI.SI,Nikkoam-stc Asia_xj Reit Us$
CPRW.SI,Dlc Socgen7xlonghsi 210114
CPSW.SI,Dlc Socgen7xshorthsi 210114
CPTW.SI,Dlc Socgen7xlonghsc 210114
CPUW.SI,Dlc Socgen7xshorthsc 210114
CPVW.SI,Dlc Socgen7xlongmsg 210114
CPWW.SI,Dlc Socgen7xshortmsg 210114
CQEW.SI,Bm Mobility Ltd. W210213
CQLW.SI,Marco Polo Marine Ltd. W230129
CRJW.SI,F J Benjamin W210405
CRPU.SI,Sasseur Reit
CRWW.SI,Mtq Corporation Limitedw230417
CSFU.SI,Cromwell European Reit S$
CTMW.SI,Tee Intl Limited W201030
CTN.SI,Breadtalk Group Limited
CTO.SI,Hong Lai Huat Group Limited
CTPW.SI,Aei Corporation Ltd W210527
CUKW.SI,Dlc Sg5xshorthsc230420
CUVW.SI,Nky 22500mbepw200911
CVPW.SI,Dlc Sg5xlongmsg230420
CWAW.SI,Dlc Sg5xlonghsi230420
CXAW.SI,Sti 2650mbecw201231
CXFW.SI,Haidilao Mbecw200703
CXQW.SI,Dlc Sg5xshorthsi230420
CY6U.SI,Ascendas India Trust
CYTW.SI,Dlc Sg5xshortmsg230420
CYW.SI,Tricklestar
CZ4.SI,Dutech Holdings Limited
CZAW.SI,Dlc Sg7xlongmsg230404
CZPW.SI,Dlc Sg5xlonghsc230420
D00W.SI,Dlc Sg5xlongpetchina B
D01.SI,Dairy Farm Int'l Holdings Ltd
D03.SI,Del Monte Pacific Limited
D05.SI,Dbs Group Holdings Ltd
D07.SI,Spdr Djia Etf Trust
D11.SI,Design Studio Furniture Mfrltd
D50.SI,China Great Land Holdings Ltd.
D5IU.SI,Lippo Malls Indo Retail Trust
D6U.SI,Dynamic Colours Limited
D8DU.SI,First Ship Lease Trust
DAAW.SI,Dlc Socgen5xshort Aia
DABW.SI,Dlc Socgen5xshort Venture A
DAEW.SI,Dlc Sg5xshortsunny A
DAFW.SI,Dlc Sg5xlongaac A
DALW.SI,Dlc Sg5xlong Aac
DANW.SI,Dlc Socgen5xlong Tencent
DAQW.SI,Dlc Sg5xlongcapland A
DASW.SI,Dlc Sg5xshort Aac
DAUW.SI,Dlc Sg5xshort Sunac
DAWW.SI,Dlc Sg5xlong Sunac
DAZW.SI,Dlc Sg5xshortkepcorp A
DBCW.SI,Dlc Sg5xshortgeely A
DBTW.SI,Dlc Sg5xlonggalaxy A
DBZW.SI,Dlc Socgen5xshort Uob
DCLW.SI,Dlc Sg5xlong Citydev
DCPW.SI,Dlc Socgen5xshort Pingan
DCSW.SI,Dlc Sg5xshort Citydev
DDBW.SI,Dlc Sg5xshortwilmar A
DDIW.SI,Dlc Socgen5xshort Singtel
DDJW.SI,Dlc Socgen5xshort Tencent A
DDWW.SI,Dlc Socgen5xlong Uob
DEKW.SI,Dlc Socgen5xlong Kepcorp
DEUW.SI,Dlc Sg5xlongcitydev A
DEZW.SI,Dlc Sg5xshortuob A
DFFW.SI,Dlc Socgen5xshort Dbs
DFHW.SI,Dlc Socgen5xlong Wilmar
DFJW.SI,Dlc Sg5xshortocbc A
DGAW.SI,Dlc Sg5xlonggeely A
DGBW.SI,Dlc Sg5xshort Areit
DGOW.SI,Dlc Socgen5xshort Venture
DGRW.SI,Dlc Sg5xlong Sgx
DGSW.SI,Dlc Sg5xshort Sgx
DHDW.SI,Dlc Sg5xlong Clife
DHYW.SI,Dlc Socgen5xlong Pingan
DIRW.SI,Wilmar Mb Ecw201102
DIWW.SI,Hsi27000mbecw200629
DJAW.SI,Dlc Sg5xlong Cmob
DJWW.SI,Dlc Socgen5xshort Ocbc
DKFW.SI,Dlc Socgen5xshort Capland
DKKW.SI,Dlc Sg5xlongsia A
DKUW.SI,Dlc Socgen5xshort Cnooc
DLAW.SI,Dlc Socgen5xlong Venture
DLIW.SI,Dlc Sg5xlongsunac A
DLQW.SI,Dlc Socgen5xlong Capland
DM0.SI,Psc Corporation Ltd
DMPW.SI,Dlc Socgen5xshort Genting
DMQW.SI,Dlc Socgen5xlong Singtel
DMUW.SI,Dlc Sg5xlongocbc A
DNEW.SI,Dlc Socgen5xlong Genting
DNXW.SI,Dlc Socgen5xshort Wilmar
DNZW.SI,Dlc Sg5xshort Clife
DOXW.SI,Dlc Socgen5xlong Dbs
DPEW.SI,Dlc Sg5xshort Shkp
DPIW.SI,Dlc Socgen5xshort Kepcorp
DPOW.SI,Dlc Sg5xlongsands A
DPWW.SI,Dlc Socgen5xlong Aia
DQAW.SI,Dlc Sg5xlongareit A
DQBW.SI,Dlc Sg5xshort Cmob
DQDW.SI,Dlc Socgen5xshort Geely
DQTW.SI,Dlc Socgen5xshort Tencent
DRGW.SI,Dlc Sg5xlong Shkp
DRWW.SI,Dlc Socgen5xlong Geely
DRX.SI,St Group Food
DSAW.SI,Dlc Sg5xlong Sands
DSBW.SI,Dlc Socgen5xlong Tencent A
DSCW.SI,Dlc Socgen5xshort Galaxy
DSIW.SI,Dlc Sg5xlong Sia
DSLW.SI,Dlc Sg5xshort Sia
DSNW.SI,Dlc Sg5xlong Sunny
DSSW.SI,Dlc Sg5xshort Sands
DSVW.SI,Dlc Sg5xshort Sunny
DSYW.SI,Dlc Socgen5xlong Petchina
DTAW.SI,Dlc Socgen5xshort Petchina
DTFW.SI,Dlc Sg5xshortdbs A
DTJW.SI,Dlc Sg5xlongcnooc A
DTNW.SI,Dlc Socgen5xlong Galaxy
DU4.SI,Mermaid Maritime Public Co Ltd
DUBW.SI,Dlc Sg5xlonggenting A
DUFW.SI,Dlc Sg5xlong Cspc
DUZW.SI,Dlc Socgen5xlong Ocbc
DVOW.SI,Dlc Socgen5xlong Hkex
DVPW.SI,Dlc Sg5xlonggeely B
DVVW.SI,Dlc Socgen5xshort Hkex
DWAW.SI,Dlc Sg5xshort Cspc
DWBW.SI,Dlc Socgen5xshort Ccb
DXAW.SI,Dlc Sg5xlong Areit
DXMW.SI,Dlc Socgen5xlong Ccb
DXUW.SI,Dlc Socgen5xshort Yzj
DYAW.SI,Dlc Socgen5xshort Hsbc
DYDW.SI,Dlc Sg5xshortaac A
DYKW.SI,Dlc Sg5xshortsgx A
DZAW.SI,Dlc Sg5xlongpetchina A
DZLW.SI,Dlc Socgen5xlong Hsbc
E16.SI,Elec & Eltek Int Co Ltd
E27.SI,Eucon Holding Limited
E28.SI,Frencken Group Limited
E3B.SI,Wee Hur Holdings Ltd.
E5H.SI,Golden Agri-resources Ltd
E6R.SI,Samko Timber Limited
E8Z.SI,Roxy-pacific Holdings Limited
E90.SI,China Sky Chem Fibre Co. Ltd.
E9L.SI,Joyas International Hldgs Ltd
EB5.SI,First Resources Limited
EB7.SI,Ktl Global Limited
ECDW.SI,Dbs Mb Epw200602
EEAW.SI,Sti 3000mbepw200630
EG0.SI,Jes International Holdings Ltd
EH5.SI,United Overseas Australia Ltd
EOYW.SI,Uob Mb Epw200601
ER0.SI,Ksh Holdings Limited
ERZR.SI,Asian Pay Tv Tr R1
ES3.SI,Sti Etf
F03.SI,Food Empire Holdings Limited
F10.SI,F J Benjamin Holdings Ltd
F13.SI,Fu Yu Corporation Ltd
F17.SI,Guocoland Limited
F1E.SI,Low Keng Huat (singapore) Ltd
F31.SI,Fragrance Group Limited
F34.SI,Wilmar International Limited
F3V.SI,Sino Construction Limited
F83.SI,Cosco Corporation (s) Ltd
F86.SI,Cougar Logistics Corpn Ltd
F99.SI,Fraser And Neave Limited
F9D.SI,Boustead Singapore Limited
FIAW.SI,China Real Estate W230726
FIUW.SI,Hsi 25000mbecw200730
FQ7.SI,Jasper Investments Limited
FQ8.SI,China Sports Intl Limited
